school_year,dpi_true_id,school_name,accurate_agency_type,overall_score,overall_rating,school_enrollment,zip
2018-19,3619_0444,Carmen Middle/High School of Science and Technology Northwest Campus,Non-Instrumentality Charter,68.9,Meets Expectations^,666,53218
2018-19,3619_0108,Carson Academy,Traditional Public,55.5,Meets Few Expectations,467,53216
2018-19,3619_0178,Carver Academy,Traditional Public,68.3,Meets Expectations^,407,53212
2018-19,3619_0104,Cass Street Elementary,Traditional Public,57.5,Meets Few Expectations,416,53202
2018-19,3619_0110,Clarke Street Elementary,Traditional Public,55.4,Meets Few Expectations^,299,53210
2018-19,3619_0114,Clemens Elementary,Traditional Public,70.4,Meets Expectations,316,53216
2018-19,3619_0113,Clement Avenue Elementary,Traditional Public,62.3,Meets Few Expectations,423,53207
2018-19,3619_0116,Congress Elementary,Traditional Public,67.3,Meets Expectations,749,53218
2018-19,3619_0117,Cooper Elementary,Traditional Public,83.1,Significantly Exceeds Expectations,465,53221
2018-19,3619_0501,Craig Montessori School,Traditional Public,64.9,Meets Expectations^,363,53218
2018-19,3619_0122,Curtin Elementary,Traditional Public,69.6,Meets Expectations,324,53215
2018-19,3619_0820,Daniels University Preparatory Academy,Non-Instrumentality Charter,52.1,Fails to Meet Expectations,178,53209
2018-19,3619_0125,Doerfler Elementary,Traditional Public,59.3,Meets Few Expectations,613,53215
2018-19,3619_0143,Eighty-First Street Elementary,Traditional Public,58.3,Meets Few Expectations,365,53222
2018-19,3619_0148,Elm Creative Arts Elementary,Traditional Public,39.8,Fails to Meet Expectations,346,53205
2018-19,3619_0150,Emerson Elementary,Traditional Public,53.2,Meets Few Expectations,255,53225
2018-19,3619_0152,Engleburg Elementary,Traditional Public,69.3,Meets Expectations^,297,53225
2018-19,3619_0155,Fairview Elementary,Traditional Public,76.4,Exceeds Expectations,673,53219
2018-19,3619_0158,Fernwood Montessori,Traditional Public,73.8,Exceeds Expectations,784,53207
2018-19,3619_0170,Fifty-Third Street Elementary,Traditional Public,59.6,Meets Few Expectations,417,53216
2018-19,3619_0173,Forest Home Elementary,Traditional Public,62.1,Meets Few Expectations,698,53204
2018-19,3619_0179,Franklin Elementary,Traditional Public,60.6,Meets Few Expectations,376,53206
2018-19,3619_0182,Fratney Elementary,Traditional Public,61.1,Meets Few Expectations,489,53212
2018-19,3619_0185,Gaenslen Elementary,Traditional Public,51.4,Fails to Meet Expectations,725,53212
2018-19,3619_0191,Garland Elementary,Traditional Public,75.9,Exceeds Expectations,630,53221
2018-19,3619_0192,Goodrich Elementary,Traditional Public,59.7,Meets Few Expectations,354,53224
2018-19,3619_0410,Grandview High,Partnership,NA,Alternate Rating - Satisfactory Progress,227,53215
2018-19,3619_0193,Grant Elementary,Traditional Public,71.8,Meets Expectations,657,53215
2018-19,3619_0196,Grantosa Drive Elementary,Traditional Public,60.8,Meets Few Expectations,583,53218
2018-19,3619_0202,Greenfield Bilingual,Traditional Public,65.3,Meets Expectations,634,53215
2018-19,3619_0236,Groppi High,Traditional Public,NA,Alternate Rating - Needs Improvement,92,53208
2018-19,3619_0018,Hamilton High,Traditional Public,49.4,Fails to Meet Expectations^,1545,53220
2018-19,3619_0205,Hampton Elementary,Traditional Public,76.9,Exceeds Expectations,234,53218
2018-19,3619_0880,HAPA-Hmong American Peace Academy K3-12,Non-Instrumentality Charter,81.4,Exceeds Expectations,1708,53225
2018-19,3619_0208,Hartford Avenue Elementary,Traditional Public,57.5,Meets Few Expectations,642,53211
2018-19,3619_0211,Hawley Environmental School,Traditional Public,61.7,Meets Few Expectations,376,53213
2018-19,3619_0212,Hawthorne Elementary,Traditional Public,56.2,Meets Few Expectations,287,53209
2018-19,3619_0214,Hayes Bilingual School,Traditional Public,81.9,Exceeds Expectations,667,53204
2018-19,3619_0217,Hi-Mount Elementary,Traditional Public,58.9,Meets Few Expectations,211,53208
2018-19,3619_0852,Highland Community School,Non-Instrumentality Charter,68.4,Meets Expectations,415,53233
2018-19,3619_0218,Holmes Elementary,Traditional Public,61.6,Meets Few Expectations,309,53212
2018-19,3619_0334,Honey Creek Elementary,Instrumentality Charter,64.5,Meets Expectations,417,53220
2018-19,3619_0253,Hopkins Lloyd Community School,Traditional Public,61,Meets Few Expectations,240,53206
2018-19,3619_0223,Humboldt Park Elementary,Traditional Public,74.3,Exceeds Expectations,604,53207
2018-19,3619_0165,IDEAL Individualized Developmental Educational Approaches to Learning,Instrumentality Charter,69.4,Meets Expectations,287,53221
2018-19,3619_0377,Jackson Elementary,Traditional Public,48.1,Fails to Meet Expectations,308,53206
2018-19,3619_0409,James Madison Academic Campus,Traditional Public,29.4,Fails to Meet Expectations,779,53218
2018-19,3619_0232,Kagel Elementary,Traditional Public,73.5,Exceeds Expectations,263,53204
2018-19,3619_0235,Keefe Avenue Elementary,Traditional Public,51.2,Fails to Meet Expectations,166,53206
2018-19,3619_0237,Kilbourn Elementary,Traditional Public,67,Meets Expectations,315,53218
2018-19,3619_0020,King International,Traditional Public,69.3,Meets Expectations,1546,53209
2018-19,3619_0210,King International Baccalaureate Middle,Traditional Public,54.8,Meets Few Expectations,440,53212
2018-19,3619_0199,King Jr Elementary,Traditional Public,71.3,Meets Expectations^,290,53212
