GEOID,NAME,Hispanic,White,Black,American Indian,Asian,Native Hawaiian,Other Race,Two or More,Total,Total 18+,Under 18
55079000101,"Census Tract 1.01, Milwaukee County, Wisconsin",0.05292171995589857,0.19889746416758544,0.6551267916207276,0.0017640573318632856,0.05049614112458655,0,0.005292171995589856,0.035501653803748624,4535,3067,1468
55079000201,"Census Tract 2.01, Milwaukee County, Wisconsin",0.14946889226100152,0.1052731411229135,0.6754552352048558,0.00208649468892261,0.030728376327769348,0,0.0066388467374810314,0.030349013657056147,5272,2842,2430
55079000400,"Census Tract 4, Milwaukee County, Wisconsin",0.06340508806262231,0.2583170254403131,0.5628180039138944,0.003913894324853229,0.06027397260273973,3.913894324853229e-4,0.008610567514677104,0.042270058708414875,2555,1681,874
55079000502,"Census Tract 5.02, Milwaukee County, Wisconsin",0.0521415270018622,0.11080074487895716,0.6941340782122905,0.0023277467411545625,0.09590316573556797,0,0.0037243947858473,0.040968342644320296,4296,2576,1720
55079000900,"Census Tract 9, Milwaukee County, Wisconsin",0.05319750990379174,0.1366723259762309,0.6989247311827957,0.001697792869269949,0.06395019807583475,5.659309564233164e-4,0.00311262026032824,0.04187889077532541,3534,2106,1428
55079001000,"Census Tract 10, Milwaukee County, Wisconsin",0.05845323741007194,0.12170263788968826,0.7586930455635491,0.001498800959232614,0.015587529976019185,0,0.004796163069544364,0.03926858513189448,3336,2145,1191
55079001100,"Census Tract 11, Milwaukee County, Wisconsin",0.030211480362537766,0.06986404833836858,0.8379909365558912,0.0026435045317220545,0.02039274924471299,0,0.004154078549848943,0.03474320241691843,2648,1699,949
55079001200,"Census Tract 12, Milwaukee County, Wisconsin",0.038781163434903045,0.04189750692520776,0.6793628808864266,0.0013850415512465374,0.21191135734072022,0,0.001038781163434903,0.025623268698060944,2888,1660,1228
55079001400,"Census Tract 14, Milwaukee County, Wisconsin",0.03508771929824561,0.09385964912280702,0.6456140350877193,0.0013157894736842105,0.17280701754385966,0,0.0017543859649122807,0.04956140350877193,2280,1366,914
55079001500,"Census Tract 15, Milwaukee County, Wisconsin",0.031486146095717885,0.09855163727959698,0.5947732997481109,0.003778337531486146,0.23929471032745592,6.297229219143577e-4,0.0025188916876574307,0.028967254408060455,3176,2027,1149
55079001600,"Census Tract 16, Milwaukee County, Wisconsin",0.04594400574300072,0.09798994974874371,0.7638190954773869,3.589375448671931e-4,0.06676238334529792,3.589375448671931e-4,0.0014357501794687725,0.023330940416367553,2786,1724,1062
55079001800,"Census Tract 18, Milwaukee County, Wisconsin",0.05540780141843971,0.11037234042553191,0.7322695035460993,8.865248226950354e-4,0.06959219858156028,0,0.002216312056737589,0.02925531914893617,2256,1480,776
55079001900,"Census Tract 19, Milwaukee County, Wisconsin",0.04171779141104295,0.09969325153374232,0.7739263803680981,0.00245398773006135,0.05122699386503068,3.0674846625766873e-4,0.006748466257668712,0.02392638036809816,3260,2062,1198
55079002000,"Census Tract 20, Milwaukee County, Wisconsin",0.05648986632169038,0.06338939197930142,0.8240620957309185,8.624407072013799e-4,0.007330746011211729,4.3122035360068997e-4,0.008193186718413108,0.039241052177662786,2319,1524,795
55079002100,"Census Tract 21, Milwaukee County, Wisconsin",0.037253141831238776,0.05341113105924596,0.8689407540394973,4.488330341113106e-4,0.008976660682226212,0,0.0013464991023339318,0.0296229802513465,2228,1477,751
55079002200,"Census Tract 22, Milwaukee County, Wisconsin",0.0876803551609323,0.27968923418423974,0.548834628190899,0.001664816870144284,0.025527192008879023,0,0.00388457269700333,0.05271920088790233,1802,1163,639
55079002300,"Census Tract 23, Milwaukee County, Wisconsin",0.04746108701199286,0.030620056136769585,0.8861954580250064,0.0053585098239346774,0.003827507017096198,0,0.004337841286042358,0.022199540699157947,3919,2711,1208
55079002400,"Census Tract 24, Milwaukee County, Wisconsin",0.04093023255813953,0.029767441860465118,0.8702325581395349,0.0018604651162790699,0.012093023255813953,0,0.011162790697674419,0.03395348837209302,2150,1440,710
55079002500,"Census Tract 25, Milwaukee County, Wisconsin",0.049485546300832926,0.050955414012738856,0.8383145516903479,0.007349338559529643,0.007839294463498285,9.799118079372856e-4,0.007349338559529643,0.037726604605585495,2041,1297,744
55079002600,"Census Tract 26, Milwaukee County, Wisconsin",0.057540428732606244,0.033471229785633695,0.8679954870251975,0.0026325686348251222,0.00376081233546446,0,7.52162467092892e-4,0.03384731101918014,2659,1681,978
55079002700,"Census Tract 27, Milwaukee County, Wisconsin",0.04334677419354839,0.05846774193548387,0.8210685483870968,0.005040322580645161,0.023185483870967742,0.0010080645161290322,0.0025201612903225806,0.04536290322580645,1984,1241,743
55079002800,"Census Tract 28, Milwaukee County, Wisconsin",0.04054691183404055,0.05752003771805752,0.8081093823668081,0.006129184347006129,0.04714757190004715,0,0.003771805752003772,0.036775106082036775,2121,1355,766
55079002900,"Census Tract 29, Milwaukee County, Wisconsin",0.04193849021435228,0.07455731593662628,0.7730661696178938,0.001863932898415657,0.07036346691519105,0,0.002329916123019571,0.0358807082945014,2146,1305,841
55079003600,"Census Tract 36, Milwaukee County, Wisconsin",0.040070713022981735,0.06776664702416028,0.8350029463759576,0.002357100766057749,0.020035356511490868,5.892751915144372e-4,0.005303476723629935,0.028874484384207425,1697,1209,488
55079003800,"Census Tract 38, Milwaukee County, Wisconsin",0.043689320388349516,0.05679611650485437,0.8514563106796117,0.002912621359223301,0.015533980582524271,9.70873786407767e-4,0.003883495145631068,0.02475728155339806,2060,1447,613
55079003900,"Census Tract 39, Milwaukee County, Wisconsin",0.03556242752222652,0.028991109393119444,0.8917665249323541,0.004252029377657518,0.008117510630073444,0,0.003865481252415926,0.027444916892153073,2587,1804,783
55079004000,"Census Tract 40, Milwaukee County, Wisconsin",0.01818181818181818,0.029494949494949494,0.9103030303030303,0.00202020202020202,0.01575757575757576,0,0.0044444444444444444,0.019797979797979797,2475,1539,936
55079004100,"Census Tract 41, Milwaukee County, Wisconsin",0.05054151624548736,0.029683112715603692,0.8648215002005616,0.002807862013638187,0.011632571199358203,0,8.022462896109105e-4,0.039711191335740074,2493,1612,881
