GEOID,NAME,geometry,Hispanic,White,Black,American Indian,Asian,Native Hawaiian,Other Race,Two or More,Total,Total 18+,Under 18
55079002100,"Census Tract 21, Milwaukee County, Wisconsin","list(list(c(-87.960036, -87.959997, -87.959907, -87.958697, -87.956252, -87.952612, -87.950593, -87.949034, -87.94626, -87.946469, -87.949946, -87.954001, -87.956443, -87.960076, -87.960036, 43.113784, 43.115606, 43.119184, 43.119174, 43.119156, 43.119109, 43.119278, 43.11917, 43.119135, 43.111819, 43.111854, 43.111895, 43.11192, 43.111936, 43.113784)))",0.037253141831238776,0.05341113105924596,0.8689407540394973,4.488330341113106e-4,0.008976660682226212,0,0.0013464991023339318,0.0296229802513465,2228,1477,751
55079002200,"Census Tract 22, Milwaukee County, Wisconsin","list(list(c(-87.94626, -87.945435, -87.945041, -87.94603, -87.943893, -87.943958, -87.945752, -87.945295, -87.94359, -87.943404, -87.938497, -87.940051, -87.94005, -87.934862, -87.933251, -87.927326, -87.927712, -87.920835, -87.922304, -87.923429, -87.924066, -87.924203, -87.924082, -87.923856, -87.924215, -87.925601, -87.925866, -87.925989, -87.926777, -87.927581, -87.928307, -87.929808, -87.931384, -87.933486, -87.932856, -87.937004, -87.939118, -87.939337, -87.942378, -87.946469, -87.94626, 43.119135, 
43.11912, 43.117385, 43.115508, 43.115459, 43.113205, 43.113348, 43.112272, 43.112974, 43.115437, 43.115381, 43.117019, 43.119029, 43.11894, 43.115266, 43.115173, 43.118812, 43.118704, 43.116832, 43.115544, 43.114045, 43.11313, 43.112001, 43.111527, 43.111167, 43.110632, 43.110591, 43.110662, 43.11074, 43.110515, 43.110089, 43.109026, 43.113181, 43.113806, 43.111614, 43.111667, 43.111714, 43.111719, 43.112216, 43.111819, 43.119135)))",0.0876803551609323,0.27968923418423974,0.548834628190899,0.001664816870144284,0.025527192008879023,0,0.00388457269700333,0.05271920088790233,1802,1163,639
55079002300,"Census Tract 23, Milwaukee County, Wisconsin","list(list(c(-87.946543, -87.946503, -87.946503, -87.946469, -87.942378, -87.939337, -87.939118, -87.937004, -87.932856, -87.933486, -87.931384, -87.929808, -87.930952, -87.930183, -87.926297, -87.925051, -87.928591, -87.927036, -87.927655, -87.927975, -87.942862, -87.94637, -87.946655, -87.946543, 43.108381, 43.109769, 43.1104, 43.111819, 43.112216, 43.111719, 43.111714, 43.111667, 43.111614, 43.113806, 43.113181, 43.109026, 43.107993, 43.106893, 43.105459, 43.10031, 43.100419, 43.097758, 43.097959, 
43.098061, 43.102847, 43.103965, 43.104498, 43.108381)))",0.04746108701199286,0.030620056136769585,0.8861954580250064,0.0053585098239346774,0.003827507017096198,0,0.004337841286042358,0.022199540699157947,3919,2711,1208
55079002400,"Census Tract 24, Milwaukee County, Wisconsin","list(list(c(-87.960076, -87.956443, -87.954001, -87.949946, -87.946469, -87.946503, -87.946503, -87.946543, -87.946655, -87.94637, -87.945479, -87.94372, -87.945351, -87.94577, -87.946757, -87.949161, -87.953009, -87.954414, -87.956558, -87.956812, -87.95658, -87.956546, -87.957777, -87.95774, -87.956907, -87.96108, -87.960076, 43.111936, 43.11192, 43.111895, 43.111854, 43.111819, 43.1104, 43.109769, 43.108381, 43.104498, 43.103965, 43.102238, 43.098933, 43.098957, 43.100821, 43.100834, 43.100836, 
43.100854, 43.100617, 43.100761, 43.10076, 43.104613, 43.106413, 43.106418, 43.108257, 43.108251, 43.111941, 43.111936)))",0.04093023255813953,0.029767441860465118,0.8702325581395349,0.0018604651162790699,0.012093023255813953,0,0.011162790697674419,0.03395348837209302,2150,1440,710
55079002500,"Census Tract 25, Milwaukee County, Wisconsin","list(list(c(-87.966411, -87.965033, -87.963324, -87.96108, -87.956907, -87.95774, -87.957777, -87.956546, -87.95658, -87.957927, -87.962731, -87.966527, -87.966411, 43.111963, 43.111957, 43.11195, 43.111941, 43.108251, 43.108257, 43.106418, 43.106413, 43.104613, 43.104615, 43.104618, 43.104621, 43.111963)))",0.049485546300832926,0.050955414012738856,0.8383145516903479,0.007349338559529643,0.007839294463498285,9.799118079372856e-4,0.007349338559529643,0.037726604605585495,2041,1297,744
55079002600,"Census Tract 26, Milwaukee County, Wisconsin","list(list(c(-87.96696, -87.966911, -87.966815, -87.966797, -87.966527, -87.962731, -87.957927, -87.95658, -87.956812, -87.958329, -87.957575, -87.956814, -87.956846, -87.958111, -87.959891, -87.961673, -87.966991, -87.96696, 43.097414, 43.098951, 43.102572, 43.103403, 43.104621, 43.104618, 43.104615, 43.104613, 43.10076, 43.10076, 43.098946, 43.09692, 43.096538, 43.096521, 43.096523, 43.096646, 43.09685, 43.097414)))",0.057540428732606244,0.033471229785633695,0.8679954870251975,0.0026325686348251222,0.00376081233546446,0,7.52162467092892e-4,0.03384731101918014,2659,1681,978
55079002700,"Census Tract 27, Milwaukee County, Wisconsin","list(list(c(-87.976839, -87.976823, -87.97672, -87.976542, -87.973961, -87.973198, -87.971458, -87.970284, -87.966527, -87.966797, -87.966815, -87.966911, -87.96696, -87.966991, -87.972214, -87.973405, -87.976888, -87.976839, 43.09923, 43.099917, 43.103911, 43.104653, 43.104644, 43.104642, 43.104636, 43.104633, 43.104621, 43.103403, 43.102572, 43.098951, 43.097414, 43.09685, 43.09688, 43.097198, 43.097208, 43.09923)))",0.04334677419354839,0.05846774193548387,0.8210685483870968,0.005040322580645161,0.023185483870967742,0.0010080645161290322,0.0025201612903225806,0.04536290322580645,1984,1241,743
55079002800,"Census Tract 28, Milwaukee County, Wisconsin","list(list(c(-87.976407, -87.976319, -87.971314, -87.968933, -87.966411, -87.966527, -87.970284, -87.971458, -87.973198, -87.973961, -87.976542, -87.976407, 43.105186, 43.111991, 43.111977, 43.111971, 43.111963, 43.104621, 43.104633, 43.104636, 43.104642, 43.104644, 43.104653, 43.105186)))",0.04054691183404055,0.05752003771805752,0.8081093823668081,0.006129184347006129,0.04714757190004715,0,0.003771805752003772,0.036775106082036775,2121,1355,766
55079002900,"Census Tract 29, Milwaukee County, Wisconsin","list(list(c(-87.986308, -87.986191, -87.984953, -87.981253, -87.976319, -87.976407, -87.976542, -87.981359, -87.986487, -87.986308, 43.105665, 43.112036, 43.11203, 43.112013, 43.111991, 43.105186, 43.104653, 43.104677, 43.104713, 43.105665)))",0.04193849021435228,0.07455731593662628,0.7730661696178938,0.001863932898415657,0.07036346691519105,0,0.002329916123019571,0.0358807082945014,2146,1305,841
55079003600,"Census Tract 36, Milwaukee County, Wisconsin","list(list(c(-87.98952, -87.989362, -87.987445, -87.986769, -87.986775, -87.985508, -87.976888, -87.977049, -87.977058, -87.977061, -87.977099, -87.980912, -87.9832, -87.985252, -87.986975, -87.989543, -87.98952, 43.090031, 43.097262, 43.097263, 43.097261, 43.096896, 43.09708, 43.097208, 43.090348, 43.089958, 43.089817, 43.088018, 43.088061, 43.088928, 43.088178, 43.08811, 43.088104, 43.090031)))",0.040070713022981735,0.06776664702416028,0.8350029463759576,0.002357100766057749,0.020035356511490868,5.892751915144372e-4,0.005303476723629935,0.028874484384207425,1697,1209,488
