ward,zip,alloc
280,53220,0.11095752417931816
280,53221,0.30651049920048723
280,53219,0.1725430040836562
281,53215,0.9340050467964137
281,53221,0.06599495372544213
282,53215,0.0044736150648896494
282,53221,0.995526386232707
291,53215,0.9939981671834397
291,53207,0.0060018429606137355
292,53215,0.19440992532295737
292,53221,6.661028822779068e-4
292,53207,0.8049239717947647
293,53207,1
294,53207,1
295,53207,1
296,53207,1
297,53207,1
298,53207,0.9975405762708909
298,53235,0.0024594290735629218
299,53207,0.9803749404508607
299,53235,0.01962505966842102
300,53207,0.9704076995673762
300,53235,0.029592300432623876
301,53207,0.9732318990166712
301,53235,0.026768100983328772
302,53207,0.9932257753713768
302,53235,0.0067742253730589605
303,53207,1
304,53221,0.3994645567477778
304,53207,0.6005354432522222
305,53221,0.5343024877724695
305,53207,0.4656975122275306
283,53215,0.10527164045432019
283,53221,0.8947283607609328
284,53215,0.9999962066850987
284,53221,3.7933149012528397e-6
285,53215,1
286,53215,0.99922934431687
286,53221,7.70719819487719e-4
287,53215,0.9907765547722961
287,53221,0.00922344522770395
288,53221,0.9978737165989445
288,53207,0.002126283401055443
289,53215,0.9947785433884535
289,53221,0.005221456611546471
290,53215,1
247,53207,1
248,53207,1
249,53215,0.01903256729712059
249,53207,0.9774262686294248
249,53204,0.0035411640734545283
250,53215,0.992688675711817
250,53207,0.007311324288182987
253,53215,1
254,53215,1
255,53215,1
256,53215,1
257,53215,1
258,53215,1
251,53215,1
252,53215,0.9945436273354515
252,53207,0.005456372664548486
259,53215,0.8729375032890184
259,53219,0.12706249671098155
260,53215,0.8263479584963865
260,53219,0.1736520415413992
261,53215,0.7036015132256851
261,53219,0.29639850589747685
262,53219,1
263,53215,0.007454718351429203
263,53219,0.9925452816943612
264,53219,1
265,53219,1
45,53218,1
46,53218,1
47,53218,1
48,53218,1
49,53218,0.833837592050413
49,53209,0.16616240794958698
51,53209,1
52,53209,1
53,53209,1
54,53209,1
55,53217,0.008238020451499151
55,53209,0.9917619795485009
56,53209,1
57,53209,1
63,53216,0.7495876161391286
63,53209,0.25041238386087133
130,53211,1
58,53209,1
59,53206,0.008424092189850739
59,53209,0.9915759140804689
60,53206,0.05466898669034222
60,53216,0.02696262248262279
60,53209,0.918368390827035
61,53206,9.241796950020064e-5
61,53216,0.10813032168210573
61,53209,0.8917772603483941
62,53209,1
131,53211,1
132,53202,0.0025025683497770035
132,53211,0.997497431650223
133,53211,1
134,53211,1
135,53202,0.21724829303198825
135,53211,0.7827517071567464
136,53202,0.0452247887690013
136,53212,0.012240337195672177
136,53211,0.9425348813715245
137,53202,0.03419840081182452
137,53212,0.9557656282376645
137,53211,0.010035971254125997
138,53212,1
139,53212,1
140,53212,1
141,53212,1
142,53205,0.1767611991214812
142,53206,0.06239953075445641
142,53212,0.7608392701240624
143,53205,0.05164924571070896
143,53206,0.9483507575779427
93,53222,0.040211305820404705
93,53210,0.9584816375246875
93,53213,0.001307056654907829
1,53224,0.9999896066535913
1,53097,1.0393346408736054e-5
2,53224,1
3,53223,0.5036308302638167
3,53224,0.4963345104185597
3,53097,3.465931762357813e-5
4,53223,0.9997368843663963
4,53224,2.631215756031549e-4
5,53223,0.6144123250291241
5,53224,0.3855876749708759
6,53223,4.542063571975817e-4
6,53224,0.9995457941201408
7,53224,1
8,53225,0.0011087386853658684
8,53224,0.9988912613630154
9,53223,0.5615233509531317
9,53224,0.4384766490468684
10,53218,4.094402250200532e-6
10,53223,0.0021707832061285634
10,53225,0.040765666446825805
10,53224,0.9570594559447955
11,53218,0.016238865199343207
11,53223,0.9463698413247543
11,53224,0.03739129347590245
12,53218,0.023602449776872016
12,53223,0.976397550223128
13,53218,1.7317622943686977e-4
13,53223,0.9998268238735891
14,53223,1
30,53218,0.09375566761475772
30,53225,0.9062443323852423
31,53225,1
32,53225,0.6391714223948978
32,53224,0.3608285776051022
33,53225,0.5987586213167564
33,53224,0.40124137868324355
34,53225,0.9999695129315739
34,53222,3.0487103205262144e-5
35,53225,1
15,53223,1
16,53218,0.11002484707470836
16,53223,0.8867895803604702
16,53209,0.0031855725730776615
17,53218,0.11205229859316378
17,53223,0.8556811031665358
17,53209,0.032266598240300454
18,53217,5.216372841471442e-4
18,53209,0.9994783627158529
19,53223,0.018469481840047243
19,53209,0.9815305181599527
20,53209,1
21,53209,1
22,53209,1
23,53218,0.48042873906075856
23,53209,0.5195712609392414
24,53218,0.9992364163864336
24,53209,7.635836149319034e-4
25,53218,1
26,53218,1
27,53218,0.9654785946818244
27,53225,0.03452140531817555
28,53218,0.9794189159603887
28,53225,0.020581114275598684
29,53218,0.001894896892717529
29,53225,0.9978622361513353
29,53224,2.4286695594712636e-4
64,53216,0.013884137682846447
64,53209,0.9861158624488964
65,53216,0.9984924603957028
65,53209,0.0015075396042971473
66,53216,1
67,53218,0.970168158984292
67,53216,6.001099331043409e-4
67,53209,0.029231731082603716
68,53218,0.9994061903664203
68,53216,5.938096335797352e-4
69,53218,0.02336269436666119
69,53216,0.9766373093051506
70,53218,0.0074964608953463135
70,53216,0.9925035393349738
79,53222,1
80,53225,0.013699763437383794
80,53222,0.9863002365626162
81,53222,1
82,53226,2.336526046164978e-4
82,53222,0.9997663473953835
83,53222,1
84,53222,1
85,53226,0.016845386268336628
85,53222,0.9831546233274056
86,53226,5.910850968475938e-4
86,53222,0.9964857955298284
86,53213,0.002923119373324014
87,53222,0.9245912958828371
87,53210,0.0026151496291270527
87,53213,0.0727935545107707
88,53216,1.3189503646470263e-4
88,53222,0.9998681050080201
89,53216,0.005446045015641997
89,53222,0.9945539648300168
90,53216,3.581146835261764e-4
90,53222,0.9996419036641304
91,53216,0.9834806032213257
91,53222,0.016519399147274367
92,53216,0.5651235790390504
92,53222,0.01708854975016135
92,53210,0.41767817931035955
92,53213,1.0969190042870191e-4
71,53218,1
72,53218,0.8042026179117306
72,53216,0.1957974119229679
73,53218,0.8265511374617429
73,53216,0.15757440219768815
73,53222,0.015874460340568913
74,53216,0.9376070475960094
74,53222,0.062392955131553865
75,53218,0.014745515843613458
75,53216,1.5508187955876675e-4
75,53222,0.9850994022768278
76,53218,0.795138512253298
76,53222,0.20486149497938635
77,53218,0.9691020811928002
77,53225,0.03051960965309814
77,53222,3.783197879327277e-4
78,53218,3.8420115850319205e-4
78,53225,0.9988416109507098
78,53222,7.741908344492263e-4
36,53218,0.003098534978831631
36,53225,0.9969014650211684
37,53218,0.1492706281487747
37,53225,0.8507293744241327
38,53218,0.2640813873831725
38,53225,0.7359186130768328
39,53218,1
40,53218,0.9839707483127798
40,53225,0.0160292939236509
41,53218,1
42,53218,1
43,53218,1
44,53218,1
102,53216,1
103,53216,0.5167082641947021
103,53210,0.48329182283612293
104,53216,0.6179198787553271
104,53210,0.3820801339424314
105,53206,0.0013728995625555433
105,53216,0.5666584152095386
105,53210,0.4319686973940043
106,53206,0.2811955054482634
106,53216,0.71878350658862
106,53210,2.0987963116649598e-5
107,53206,0.1908894897739327
107,53216,0.809110510409561
108,53206,1
109,53206,1
110,53206,1
111,53206,0.9009536263555642
111,53216,1.6462866353880568e-4
111,53210,0.09888176330838887
112,53206,1
113,53206,1
114,53206,1
115,53206,1
116,53206,1
117,53206,0.8431174907211936
117,53212,0.15688251140336862
94,53216,0.8643745976318347
94,53210,0.13562540313275612
95,53216,0.006396280383027114
95,53210,0.9936037714851238
96,53216,1
97,53216,0.8097696159344578
97,53210,0.19023038406554213
98,53216,1
99,53216,1
100,53216,1
101,53216,1
